t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778194251791273369,1778194251790615221,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194251791215184,0,IDLE,0,0,0,0,1778194251704103054,-1,IDLE,0,0,0,0,0
1778194251850340350,1778194251815397184,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251850288147,3,LEFT,1,1,0,0,1778194251834308924,-1,IDLE,0,0,0,0,0
1778194251928180776,1778194251897949091,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251928115610,-1,IDLE,0,0,0,1,1778194251834308924,-1,IDLE,0,0,0,0,1
1778194251980527535,1778194251974542591,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251980469054,0,IDLE,0,0,0,0,1778194251834308924,-1,IDLE,0,0,0,0,0
1778194252057522406,1778194252045287072,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194252057462832,-1,LEFT,1,0,0,0,1778194252019043480,3,FORWARD,0,0,0,1,0
1778194252135095591,1778194252126226369,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194252135042128,2,IDLE,0,0,0,0,1778194252019043480,3,FORWARD,0,0,0,1,0
1778194252195667924,1778194252192378406,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194252195600998,-1,RIGHT,0,0,1,1,1778194252019043480,3,FORWARD,0,0,0,1,0
1778194252275182628,1778194252253921054,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194252275129517,-1,IDLE,0,0,0,0,1778194252019043480,3,FORWARD,0,1,0,0,0
1778194252330348461,1778194252328537887,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194252330292776,1,IDLE,0,0,0,0,1778194252276241646,1,BACKWARD,0,1,0,0,1
1778194252401521443,1778194252382994554,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194252401468665,-1,BACKWARD,0,1,0,0,1778194252368663406,-1,IDLE,0,0,0,0,1
1778194252458607239,1778194252444971535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194252458545443,-1,IDLE,0,0,0,0,1778194252368663406,-1,IDLE,0,0,0,0,1
1778194252555272313,1778194252551711202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194252555165165,-1,IDLE,0,0,0,0,1778194252505250924,-1,IDLE,0,0,0,0,1
