procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1028072  50508 568328    0    0     0     0 1783 1693  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1038080  50508 568328    0    0     0    28 2991 2017 15  2 84  0  0  0
 1  0      0 1041580  50508 568328    0    0     0     4  611  604  0  0 100  0  0  0
 1  0      0 1041580  50508 568328    0    0     0     0   74   88  0  0 100  0  0  0
 0  0      0 1043360  50508 568328    0    0     0     0   39   59  0  0 100  0  0  0
 0  0      0 1043108  50516 568328    0    0     0    60  101  126  0  0 100  0  0  0
 1  0      0 1044668  50516 568328    0    0     0     0  136  142  0  0 100  0  0  0
 1  0      0 1044668  50516 568328    0    0     0     4  142  144  0  0 100  0  0  0
 1  0      0 1046032  50516 568328    0    0     0     0   54   68  0  0 100  0  0  0
 1  0      0 1047224  50516 568328    0    0     0     0   52   66  0  0 100  0  0  0
 1  0      0 1047800  50524 568320    0    0     0    60  208  227  0  0 100  1  0  0
 1  0      0 1047800  50524 568320    0    0     0     0   90   90  0  0 100  0  0  0
 0  0      0 1047800  50524 568328    0    0     0     0   84  105  0  0 100  0  0  0
 1  0      0 1047800  50524 568328    0    0     0     0   54   69  0  0 100  0  0  0
 1  0      0 1047800  50524 568328    0    0     0     0   47   55  0  0 100  0  0  0
 1  0      0 1047800  50532 568328    0    0     0    16  121  137  0  0 100  0  0  0
 1  0      0 1047800  50532 568328    0    0     0     0   87   97  0  0 100  0  0  0
 1  0      0 1047800  50532 568328    0    0     0     0   49   63  0  0 100  0  0  0
 0  0      0 1047800  50532 568328    0    0     0     0   73   85  0  0 100  0  0  0
 1  0      0 1047800  50532 568328    0    0     0     0   46   62  0  0 100  0  0  0
 1  0      0 1047800  50532 568328    0    0     0     0   84   93  0  0 100  0  0  0
 1  0      0 1047800  50540 568328    0    0     0    12   70   95  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1047800  50540 568328    0    0     0    16   62   73  0  0 100  0  0  0
 1  0      0 1047800  50540 568328    0    0     0     0   52   70  0  0 100  0  0  0
 1  0      0 1047800  50540 568328    0    0     0     0   44   52  0  0 100  0  0  0
 1  0      0 1047800  50540 568328    0    0     0     0   46   60  0  0 100  0  0  0
 1  0      0 1047800  50548 568328    0    0     0    28  133  158  0  0 100  0  0  0
 1  0      0 1047800  50548 568328    0    0     0     0   91  100  0  0 100  0  0  0
 1  0      0 1047800  50548 568328    0    0     0     0   54   69  0  0 100  0  0  0
 1  0      0 1047800  50548 568328    0    0     0     4  123  139  0  0 100  0  0  0
 1  0      0 1047800  50548 568328    0    0     0     0  133  144  0  0 100  0  0  0
 1  0      0 1047800  50556 568320    0    0     0    12  108  123  0  0 100  0  0  0
