t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778191576518283223,1778191576507496871,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1778191576518221019,-1,FORWARD,1,1,1,1,1778191576456557649,-1,IDLE,0,0,0,0,1
1778191576578105815,1778191576566373519,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1778191576578037982,3,IDLE,0,0,0,0,1778191576456557649,-1,IDLE,0,0,0,0,0
1778191576666377482,1778191576657838278,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1778191576666329612,-1,FORWARD,1,1,1,1,1778191576585139112,0,LEFT,1,0,0,0,0
1778191576722659111,1778191576708710297,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1778191576722611500,3,IDLE,0,0,0,0,1778191576585139112,0,LEFT,1,0,0,0,0
1778191576772018241,1778191576771281611,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576771962297,-1,FORWARD,1,1,1,1,1778191576585139112,0,LEFT,1,0,0,0,0
1778191576837942908,1778191576833093260,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576837850111,3,IDLE,0,0,0,0,1778191576585139112,0,LEFT,1,0,0,0,0
1778191576913142482,1778191576912663074,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576913103074,-1,FORWARD,1,1,1,1,1778191576849060074,-1,IDLE,0,0,0,0,1
1778191576966173241,1778191576965717093,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191576966130463,3,IDLE,0,0,0,0,1778191576849060074,-1,IDLE,0,0,0,0,0
1778191577052982815,1778191577043969815,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577052907796,0,FORWARD,0,1,1,1,1778191576990412611,0,LEFT,1,0,0,0,1
1778191577123892574,1778191577109623371,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577123696500,-1,LEFT,1,0,0,0,1778191577090696000,-1,IDLE,0,0,0,0,1
1778191577195379982,1778191577180686130,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577195327241,3,IDLE,0,0,0,0,1778191577090696000,-1,IDLE,0,0,0,0,0
1778191577249416593,1778191577248944148,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577249374945,0,FORWARD,0,1,1,1,1778191577090696000,-1,IDLE,1,0,0,0,0
1778191577301765870,1778191577283438574,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577301676722,3,LEFT,1,0,0,0,1778191577250716722,0,LEFT,1,0,0,0,0
1778191577380420018,1778191577378672926,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577380337981,-1,FORWARD,0,1,1,1,1778191577320384093,2,RIGHT,0,0,1,0,0
1778191577441592167,1778191577424708796,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577441541148,0,IDLE,0,0,0,0,1778191577320384093,2,RIGHT,0,0,1,0,0
1778191577511491407,1778191577490132370,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577511410722,-1,LEFT,1,1,1,1,1778191577460828111,-1,IDLE,0,0,0,0,1
1778191577574115981,1778191577568269463,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191577573698833,3,IDLE,0,0,0,0,1778191577460828111,-1,IDLE,0,0,0,0,0
1778191577646522148,1778191577623035722,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191577646464537,2,FORWARD,1,0,0,1,1778191577460828111,-1,IDLE,0,0,0,0,0
1778191577712671259,1778191577712195592,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778191577712622129,-1,RIGHT,0,1,1,0,1778191577659869333,-1,IDLE,0,0,0,0,1
1778191577784049666,1778191577783351685,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191577783992296,0,IDLE,0,0,0,0,1778191577659869333,-1,IDLE,0,0,0,0,0
1778191577855547981,1778191577841526703,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191577855485000,2,RIGHT,1,1,0,1,1778191577659869333,-1,IDLE,0,1,0,0,0
1778191577908725648,1778191577896595000,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191577908668759,0,RIGHT,0,0,1,0,1778191577874614574,1,BACKWARD,0,1,0,0,0
1778191578012162500,1778191578002359463,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191578012096185,2,LEFT,1,1,0,1,1778191577874614574,1,BACKWARD,0,1,0,0,0
1778191578055069814,1778191578002359463,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191578055007185,0,RIGHT,0,0,1,0,1778191578038276833,-1,IDLE,0,0,0,0,0
1778191578114884388,1778191578114016203,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191578114829092,2,LEFT,1,1,0,1,1778191578038276833,-1,IDLE,0,0,0,0,0
1778191578193658759,1778191578178923759,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191578193588074,0,RIGHT,0,0,1,0,1778191578038276833,-1,IDLE,0,0,1,0,0
1778191578241847629,1778191578235940277,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191578236913166,-1,LEFT,1,1,0,1,1778191578221275111,2,RIGHT,0,0,1,0,0
1778191578332599981,1778191578332172907,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191578332557685,2,IDLE,0,0,0,0,1778191578253385981,-1,IDLE,0,0,0,0,0
1778191578405270666,1778191578404823055,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191578405229592,-1,RIGHT,1,1,1,1,1778191578253385981,-1,IDLE,0,0,0,0,1
1778191578479823610,1778191578479388055,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191578479779110,0,IDLE,0,0,0,0,1778191578431009722,2,RIGHT,0,0,1,0,0
1778191578516415110,1778191578506651222,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191578516345296,2,LEFT,1,1,0,1,1778191578431009722,2,RIGHT,0,0,0,0,1
1778191578618304073,1778191578611347184,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191578618165240,-1,IDLE,0,0,1,0,1778191578517476851,-1,IDLE,0,0,0,0,1
1778191578660160610,1778191578659554129,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191578660103629,0,IDLE,0,0,0,0,1778191578517476851,-1,IDLE,0,0,0,0,0
1778191578714165703,1778191578695475221,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191578714104388,-1,LEFT,1,1,1,1,1778191578517476851,-1,IDLE,0,0,0,0,1
1778191578830619666,1778191578830084944,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191578830550999,-1,IDLE,0,0,0,0,1778191578789936703,-1,IDLE,0,0,0,0,1
1778191578848886962,1778191578839480703,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191578841703147,3,FORWARD,0,0,0,0,1778191578789936703,-1,IDLE,0,0,0,0,0
1778191578937350369,1778191578918305184,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191578937247240,-1,FORWARD,0,0,0,1,1778191578789936703,-1,IDLE,0,0,0,0,1
1778191578999482277,1778191578999041721,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191578999439369,0,IDLE,0,0,0,0,1778191578789936703,-1,IDLE,0,0,0,0,0
1778191579077068203,1778191579054362462,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579077001629,-1,LEFT,1,0,0,0,1778191578789936703,-1,IDLE,0,0,0,0,1
1778191579136259906,1778191579111408351,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579136180925,-1,IDLE,0,0,0,0,1778191578789936703,-1,IDLE,0,0,0,0,1
1778191579170514999,1778191579170067721,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778191579170469240,3,IDLE,0,0,0,0,1778191578789936703,-1,IDLE,0,0,0,0,0
1778191579278594684,1778191579278091943,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191579278546462,1,FORWARD,1,0,0,1,1778191579225334647,2,RIGHT,0,0,1,0,0
1778191579348224480,1778191579338420295,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191579348131795,2,BACKWARD,0,1,0,0,1778191579225334647,2,RIGHT,0,0,1,0,1
1778191579393472962,1778191579392988036,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191579393421888,0,LEFT,0,0,1,0,1778191579225334647,2,RIGHT,0,0,1,0,0
1778191579477883406,1778191579477342277,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1778191579477833499,1,LEFT,1,0,0,1,1778191579453577443,-1,IDLE,0,0,0,0,0
1778191579514674221,1778191579512701628,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778191579514617721,0,BACKWARD,0,1,0,0,1778191579453577443,-1,IDLE,0,0,0,0,0
1778191579638701943,1778191579626456202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579638649147,-1,LEFT,1,0,1,1,1778191579453577443,-1,IDLE,0,0,0,0,1
1778191579707799739,1778191579696217239,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579707707850,1,IDLE,0,0,0,0,1778191579453577443,-1,IDLE,0,0,0,0,0
1778191579746378869,1778191579745669443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579746272610,-1,BACKWARD,1,1,0,1,1778191579708945221,2,RIGHT,0,0,1,0,0
1778191579784955128,1778191579773485480,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579784897054,3,IDLE,0,0,0,0,1778191579708945221,2,RIGHT,0,0,1,0,0
1778191579864558091,1778191579833630036,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579864506258,-1,FORWARD,0,0,0,1,1778191579796362554,0,LEFT,1,0,0,0,0
1778191579974100591,1778191579972059647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778191579974052998,0,IDLE,0,0,0,0,1778191579796362554,0,LEFT,1,0,0,0,1
